State,Confirmed,Recovered,Deaths,Tested
Maharashtra,1992683,1890323,50473,14265878
Karnataka,932432,912205,12175,16032142
Andhra Pradesh,886066,877212,7141,13214568
Kerala,851195,779097,3481,8874963
Tamil Nadu,831323,813326,12272,1532064
Delhi,632590,619501,10754,9926544
Uttar Pradesh,596904,579693,8580,26789521
West Bengal,565661,548705,10063,76745126
Odisha,333444,329801,1954,7446162
Rajasthan,315394,308010,2750,5627829
Chhattisgarh,293972,284412,3565,394516
Telangana,291872,286244,1579,7481236
Haryana,266428,261510,2989,4966522
Bihar,258883,253913,1460,21312561
Gujarat,256367,245907,4367,10205632
Madhya Pradesh,251882,241966,3756,5093612
Assam,216864,212975,1075,6264521
Punjab,170729,162762,5509,4251366
Jammu and Kashmir,123425,120392,1922,4271346
Jharkhand,117786,115542,1054,5051203
